

t[s]          U1[V]         U2            U3            U4            U5            U6            T             B1            B2            B3            B4            B5            B6            Avg           Stdev

 10            3.334         3.342         3.349         3.192         3.339         3.277         23.1          0             0             1             0             0             0            3.306         2.507E-02
 20            3.495         3.477         3.475         3.382         3.474         3.463         23.1          1             0             0             0             0             0            3.461         1.635E-02
 30            3.503         3.486         3.489         3.401         3.482         3.48          23.1          1             0             0             0             0             0            3.474         1.487E-02
 40            3.509         3.494         3.497         3.417         3.491         3.494         23.1          1             0             0             0             0             0            3.484         1.358E-02
 50            3.514         3.5           3.503         3.428         3.497         3.507         23.1          1             0             0             0             0             0            3.492         1.293E-02
 60            3.52          3.503         3.509         3.439         3.5           3.516         23.2          1             0             0             0             0             0            3.498         1.216E-02
 70            3.523         3.509         3.512         3.45          3.506         3.527         23.3          0             0             0             0             0             1            3.505         1.140E-02
 80            3.526         3.512         3.517         3.46          3.509         3.532         23.3          0             0             0             0             0             1            3.509         1.047E-02
 90            3.528         3.515         3.52          3.468         3.512         3.538         23.3          0             0             0             0             0             1            3.514         9.878E-03
 100           3.531         3.515         3.523         3.476         3.515         3.543         23.4          0             0             0             0             0             1            3.517         9.304E-03
 110           3.534         3.521         3.529         3.484         3.521         3.549         23.5          0             0             0             0             0             1            3.523         8.873E-03
 120           3.537         3.524         3.531         3.49          3.524         3.552         23.5          0             0             0             0             0             1            3.526         8.417E-03
 130           3.537         3.524         3.534         3.492         3.524         3.554         23.5          0             0             0             0             0             1            3.528         8.405E-03
 140           3.537         3.526         3.534         3.495         3.527         3.554         23.5          0             0             0             0             0             1            3.529         7.922E-03
 150           3.539         3.529         3.537         3.495         3.53          3.554         23.6          0             0             0             0             0             1            3.531         8.019E-03
 160           3.542         3.529         3.54          3.498         3.53          3.557         23.6          0             0             0             0             0             1            3.533         8.073E-03
 170           3.542         3.532         3.54          3.498         3.533         3.557         23.7          0             0             0             0             0             1            3.534         8.019E-03
 180           3.545         3.535         3.543         3.501         3.536         3.557         23.7          0             0             0             0             0             1            3.536         7.739E-03
 190           3.545         3.538         3.546         3.501         3.541         3.562         23.8          0             0             0             0             0             1            3.539         8.292E-03
 200           3.55          3.541         3.548         3.503         3.541         3.562         23.8          0             0             0             0             0             1            3.541         8.195E-03
 210           3.551         3.544         3.549         3.503         3.542         3.56          23.9          0             0             0             0             0             1            3.542         8.119E-03
 220           3.553         3.547         3.554         3.503         3.544         3.562         24            0             0             0             0             0             1            3.544         8.553E-03
 230           3.554         3.544         3.551         3.503         3.547         3.56          24            0             0             0             0             0             1            3.543         8.348E-03
 240           3.556         3.547         3.554         3.503         3.548         3.56          24            0             0             0             0             0             1            3.545         8.570E-03
 250           3.556         3.547         3.554         3.503         3.548         3.56          24.1          0             0             0             0             0             1            3.545         8.570E-03
 260           3.562         3.553         3.557         3.506         3.55          3.562         24.1          1             0             0             0             0             0            3.548         8.690E-03
 270           3.562         3.556         3.56          3.506         3.551         3.563         24.2          0             0             0             0             0             1            3.550         8.917E-03
 280           3.562         3.556         3.56          3.506         3.553         3.565         24.2          0             0             0             0             0             1            3.550         9.036E-03
 290           3.567         3.558         3.565         3.506         3.556         3.562         24.3          1             0             0             0             0             0            3.552         9.419E-03
 300           3.567         3.558         3.565         3.506         3.556         3.565         24.3          1             0             0             0             0             0            3.553         9.534E-03
 310           3.57          3.561         3.568         3.506         3.559         3.565         24.4          1             0             0             0             0             0            3.555         9.911E-03
 320           3.57          3.561         3.568         3.508         3.559         3.565         24.4          1             0             0             0             0             0            3.555         9.583E-03
 330           3.573         3.564         3.571         3.508         3.562         3.565         24.5          1             0             0             0             0             0            3.557         9.985E-03
 340           3.576         3.564         3.571         3.508         3.562         3.565         24.5          1             0             0             0             0             0            3.558         1.015E-02
 350           3.578         3.57          3.574         3.511         3.565         3.568         24.6          1             0             0             0             0             0            3.561         1.017E-02
 360           3.578         3.57          3.577         3.511         3.568         3.568         24.6          1             0             0             0             0             0            3.562         1.036E-02
 370           3.581         3.57          3.577         3.511         3.568         3.571         24.7          1             0             0             0             0             0            3.563         1.059E-02
 380           3.581         3.573         3.577         3.511         3.571         3.571         24.8          1             0             0             0             0             0            3.564         1.072E-02
 390           3.581         3.573         3.579         3.514         3.571         3.571         24.8          1             0             0             0             0             0            3.565         1.031E-02
 400           3.584         3.573         3.579         3.514         3.571         3.571         24.8          1             0             0             0             0             0            3.565         1.048E-02
 410           3.587         3.575         3.582         3.516         3.576         3.571         24.9          1             0             0             0             0             0            3.568         1.062E-02
 420           3.587         3.578         3.582         3.516         3.576         3.573         25            1             0             0             0             0             0            3.569         1.072E-02
 430           3.587         3.578         3.582         3.516         3.579         3.573         25            1             0             0             0             0             0            3.569         1.080E-02
 440           3.589         3.578         3.585         3.516         3.579         3.578         25            1             0             0             0             0             0            3.571         1.112E-02
 450           3.592         3.581         3.587         3.519         3.582         3.578         25.1          1             0             0             0             0             0            3.573         1.102E-02
 460           3.592         3.581         3.587         3.522         3.585         3.578         25.1          1             0             0             0             0             0            3.574         1.062E-02
 470           3.595         3.584         3.587         3.522         3.585         3.578         25.1          1             0             0             0             0             0            3.575         1.087E-02
 480           3.595         3.584         3.587         3.522         3.585         3.581         25.2          1             0             0             0             0             0            3.576         1.090E-02
 490           3.597         3.586         3.59          3.524         3.591         3.584         25.2          1             0             0             0             0             0            3.579         1.109E-02
 500           3.6           3.586         3.59          3.527         3.591         3.584         25.3          1             0             0             0             0             0            3.580         1.077E-02
 510           3.6           3.589         3.592         3.527         3.593         3.586         25.3          1             0             0             0             0             0            3.581         1.100E-02
 520           3.6           3.589         3.592         3.527         3.593         3.586         25.4          1             0             0             0             0             0            3.581         1.100E-02
 530           3.6           3.589         3.592         3.527         3.593         3.586         25.5          1             0             0             0             0             0            3.581         1.100E-02
 540           3.603         3.589         3.592         3.529         3.593         3.592         25.5          1             0             0             0             0             0            3.583         1.098E-02
 550           3.605         3.592         3.595         3.532         3.599         3.592         25.5          1             0             0             0             0             0            3.586         1.095E-02
 560           3.605         3.592         3.595         3.532         3.599         3.592         25.6          1             0             0             0             0             0            3.586         1.095E-02
 570           3.605         3.594         3.595         3.534         3.601         3.594         25.6          1             0             0             0             0             0            3.587         1.079E-02
 580           3.608         3.597         3.6           3.534         3.601         3.597         25.6          1             0             0             0             0             0            3.590         1.122E-02
 590           3.608         3.594         3.598         3.534         3.601         3.597         25.7          1             0             0             0             0             0            3.589         1.110E-02
 600           3.611         3.594         3.598         3.534         3.601         3.597         25.8          1             0             0             0             0             0            3.589         1.129E-02
 610           3.61          3.597         3.6           3.537         3.604         3.6           25.8          1             0             0             0             0             0            3.591         1.102E-02
 620           3.613         3.597         3.6           3.537         3.607         3.6           25.8          1             0             0             0             0             0            3.592         1.132E-02
 630           3.613         3.6           3.603         3.54          3.607         3.6           25.9          1             0             0             0             0             0            3.594         1.095E-02
 640           3.613         3.6           3.603         3.54          3.607         3.603         25.9          1             0             0             0             0             0            3.594         1.102E-02
 650           3.613         3.602         3.606         3.542         3.607         3.605         26            1             0             0             0             0             0            3.596         1.087E-02
 660           3.619         3.6           3.606         3.542         3.612         3.605         26            1             0             0             0             0             0            3.597         1.138E-02
 670           3.619         3.602         3.606         3.542         3.612         3.608         26.1          1             0             0             0             0             0            3.598         1.148E-02
 680           3.619         3.602         3.606         3.542         3.612         3.608         26.1          1             0             0             0             0             0            3.598         1.148E-02
 690           3.619         3.602         3.606         3.545         3.612         3.608         26.1          1             0             0             0             0             0            3.599         1.099E-02
 700           3.619         3.602         3.606         3.545         3.612         3.608         26.2          1             0             0             0             0             0            3.599         1.099E-02
 710           3.621         3.605         3.606         3.545         3.612         3.611         26.2          1             0             0             0             0             0            3.600         1.124E-02
 720           3.621         3.608         3.608         3.548         3.618         3.613         26.3          1             0             0             0             0             0            3.603         1.114E-02
 730           3.624         3.608         3.608         3.55          3.618         3.613         26.3          1             0             0             0             0             0            3.604         1.099E-02
 740           3.621         3.605         3.608         3.55          3.618         3.613         26.3          1             0             0             0             0             0            3.603         1.078E-02
 750           3.624         3.608         3.611         3.553         3.618         3.616         26.4          1             0             0             0             0             0            3.605         1.065E-02
 760           3.627         3.611         3.611         3.553         3.618         3.616         26.4          1             0             0             0             0             0            3.606         1.087E-02
 770           3.627         3.611         3.611         3.553         3.621         3.619         26.5          1             0             0             0             0             0            3.607         1.109E-02
 780           3.627         3.611         3.614         3.556         3.621         3.619         26.5          1             0             0             0             0             0            3.608         1.065E-02
 790           3.627         3.613         3.616         3.556         3.621         3.624         26.5          1             0             0             0             0             0            3.610         1.090E-02
 800           3.632         3.613         3.616         3.558         3.627         3.624         26.6          1             0             0             0             0             0            3.612         1.111E-02
 810           3.632         3.613         3.616         3.561         3.627         3.627         26.6          1             0             0             0             0             0            3.613         1.075E-02
 820           3.632         3.616         3.616         3.561         3.627         3.627         26.6          1             0             0             0             0             0            3.613         1.076E-02
 830           3.632         3.616         3.616         3.561         3.627         3.627         26.6          1             0             0             0             0             0            3.613         1.076E-02
 840           3.632         3.616         3.619         3.564         3.627         3.63          26.7          1             0             0             0             0             0            3.615         1.045E-02
 850           3.632         3.616         3.619         3.564         3.627         3.63          26.8          1             0             0             0             0             0            3.615         1.045E-02
 860           3.635         3.616         3.619         3.566         3.63          3.632         26.8          1             0             0             0             0             0            3.616         1.052E-02
 870           3.635         3.619         3.619         3.566         3.63          3.635         26.8          1             0             0             0             0             0            3.617         1.069E-02
 880           3.638         3.619         3.622         3.569         3.63          3.635         26.9          1             0             0             0             0             0            3.619         1.040E-02
 890           3.638         3.619         3.622         3.569         3.632         3.638         26.9          1             0             0             0             0             0            3.620         1.064E-02
 900           3.638         3.619         3.622         3.572         3.632         3.638         27            1             0             0             0             0             0            3.620         1.017E-02
 910           3.638         3.622         3.622         3.572         3.632         3.638         27            1             0             0             0             0             0            3.621         1.017E-02
 920           3.638         3.622         3.625         3.572         3.632         3.641         27            0             0             0             0             0             1            3.622         1.037E-02
 930           3.641         3.622         3.625         3.574         3.635         3.641         27.1          1             0             0             0             0             0            3.623         1.032E-02
 940           3.641         3.622         3.625         3.574         3.635         3.644         27.1          0             0             0             0             0             1            3.624         1.051E-02
 950           3.641         3.622         3.625         3.577         3.635         3.644         27.1          0             0             0             0             0             1            3.624         1.004E-02
 960           3.641         3.625         3.628         3.577         3.635         3.644         27.1          0             0             0             0             0             1            3.625         1.005E-02
 970           3.641         3.625         3.63          3.577         3.641         3.649         27.2          0             0             0             0             0             1            3.627         1.063E-02
 980           3.643         3.625         3.63          3.582         3.641         3.649         27.2          0             0             0             0             0             1            3.628         9.939E-03
 990           3.646         3.625         3.628         3.582         3.638         3.649         27.3          0             0             0             0             0             1            3.628         9.983E-03
 1000          3.643         3.628         3.631         3.582         3.641         3.649         27.3          0             0             0             0             0             1            3.629         9.923E-03
 1010          3.643         3.628         3.631         3.582         3.641         3.652         27.3          0             0             0             0             0             1            3.630         1.013E-02
 1020          3.646         3.631         3.634         3.582         3.641         3.652         27.3          0             0             0             0             0             1            3.631         1.029E-02
 1030          3.646         3.631         3.634         3.585         3.641         3.655         27.4          0             0             0             0             0             1            3.632         1.003E-02
 1040          3.649         3.631         3.634         3.585         3.641         3.655         27.5          0             0             0             0             0             1            3.633         1.018E-02
 1050          3.649         3.634         3.636         3.585         3.644         3.655         27.5          0             0             0             0             0             1            3.634         1.028E-02
 1060          3.649         3.634         3.636         3.588         3.644         3.655         27.5          0             0             0             0             0             1            3.634         9.807E-03
 1070          3.652         3.637         3.636         3.588         3.644         3.655         27.6          0             0             0             0             0             1            3.635         9.972E-03
 1080          3.652         3.637         3.636         3.588         3.644         3.657         27.6          0             0             0             0             0             1            3.636         1.011E-02
 1090          3.652         3.637         3.639         3.588         3.644         3.657         27.6          0             0             0             0             0             1            3.636         1.012E-02
 1100          3.655         3.64          3.639         3.588         3.644         3.657         27.6          0             0             0             0             0             1            3.637         1.031E-02
 1110          3.655         3.64          3.642         3.59          3.647         3.657         27.6          0             0             0             0             0             1            3.639         1.009E-02
 1120          3.658         3.643         3.642         3.59          3.647         3.657         27.6          1             0             0             0             0             0            3.640         1.029E-02
 1130          3.655         3.643         3.64          3.588         3.647         3.657         27.7          0             0             0             0             0             1            3.638         1.042E-02
 1140          3.655         3.64          3.642         3.588         3.645         3.658         27.8          0             0             0             0             0             1            3.638         1.042E-02
 1150          3.658         3.643         3.642         3.591         3.645         3.658         27.8          1             0             0             0             0             0            3.640         1.014E-02
 1160          3.658         3.643         3.642         3.591         3.645         3.658         27.8          1             0             0             0             0             0            3.640         1.014E-02
 1170          3.661         3.646         3.645         3.591         3.648         3.658         27.8          1             0             0             0             0             0            3.642         1.045E-02
 1180          3.661         3.646         3.645         3.593         3.648         3.658         27.9          1             0             0             0             0             0            3.642         1.013E-02
 1190          3.663         3.649         3.648         3.593         3.648         3.66          27.9          1             0             0             0             0             0            3.644         1.045E-02
 1200          3.663         3.649         3.648         3.593         3.651         3.66          28            1             0             0             0             0             0            3.644         1.050E-02
 1210          3.666         3.649         3.648         3.596         3.651         3.66          28            1             0             0             0             0             0            3.645         1.021E-02
 1220          3.666         3.649         3.651         3.596         3.651         3.66          28            1             0             0             0             0             0            3.646         1.025E-02
 1230          3.666         3.649         3.651         3.596         3.651         3.66          28.1          1             0             0             0             0             0            3.646         1.025E-02
 1240          3.666         3.652         3.651         3.596         3.651         3.66          28.1          1             0             0             0             0             0            3.646         1.030E-02
 1250          3.669         3.652         3.651         3.596         3.651         3.66          28.1          1             0             0             0             0             0            3.647         1.050E-02
 1260          3.669         3.652         3.651         3.599         3.654         3.66          28.1          1             0             0             0             0             0            3.648         1.008E-02
 1270          3.669         3.652         3.654         3.599         3.654         3.663         28.1          1             0             0             0             0             0            3.649         1.025E-02
 1280          3.669         3.652         3.654         3.599         3.654         3.663         28.2          1             0             0             0             0             0            3.649         1.025E-02
 1290          3.672         3.654         3.656         3.601         3.656         3.666         28.2          1             0             0             0             0             0            3.651         1.037E-02
 1300          3.674         3.657         3.656         3.601         3.659         3.666         28.3          1             0             0             0             0             0            3.652         1.060E-02
 1310          3.674         3.657         3.659         3.604         3.659         3.668         28.3          1             0             0             0             0             0            3.654         1.025E-02
 1320          3.674         3.657         3.659         3.604         3.659         3.668         28.3          1             0             0             0             0             0            3.654         1.025E-02
 1330          3.674         3.657         3.659         3.604         3.659         3.668         28.3          1             0             0             0             0             0            3.654         1.025E-02
 1340          3.674         3.657         3.659         3.604         3.662         3.668         28.4          1             0             0             0             0             0            3.654         1.032E-02
 1350          3.674         3.657         3.659         3.604         3.662         3.671         28.5          1             0             0             0             0             0            3.655         1.047E-02
 1360          3.674         3.657         3.662         3.609         3.665         3.674         28.5          1             0             0             0             0             0            3.657         9.951E-03
 1370          3.677         3.66          3.665         3.609         3.668         3.674         28.5          1             0             0             0             0             0            3.659         1.027E-02
 1380          3.677         3.66          3.665         3.609         3.668         3.674         28.5          1             0             0             0             0             0            3.659         1.027E-02
 1390          3.677         3.66          3.665         3.609         3.668         3.677         28.6          1             0             0             0             0             0            3.659         1.043E-02
 1400          3.677         3.663         3.665         3.609         3.668         3.677         28.6          1             0             0             0             0             0            3.660         1.045E-02
 1410          3.68          3.665         3.665         3.612         3.671         3.677         28.6          1             0             0             0             0             0            3.662         1.024E-02
 1420          3.682         3.665         3.67          3.614         3.671         3.682         28.6          1             0             0             0             0             0            3.664         1.038E-02
 1430          3.682         3.665         3.67          3.614         3.676         3.682         28.7          1             0             0             0             0             0            3.665         1.053E-02
