t[s],Uc1[V],Uc2,Uc3,Uc4,Uc5,Uc6
1,0.96,2.3,2.22,2.3,2.33,2.37
2,0.96,2.3,2.22,2.3,2.33,2.37
3,0.96,2.3,2.22,2.3,2.33,2.37
4,0.96,2.3,2.22,2.3,2.33,2.37
5,0.96,2.3,2.22,2.3,2.33,2.37
6,0.96,2.3,2.22,2.3,2.33,2.37
7,0.96,2.3,2.22,2.3,2.33,2.37
8,0.96,2.3,2.22,2.3,2.34,2.36
9,0.96,2.3,2.22,2.3,2.33,2.37
10,0.96,2.31,2.21,2.3,2.33,2.37
11,0.96,2.3,2.22,2.3,2.33,2.37
12,0.96,2.3,2.22,2.3,2.33,2.37
13,0.96,2.3,2.22,2.3,2.33,2.37
14,0.96,2.3,2.22,2.3,2.34,2.36
15,0.96,2.3,2.22,2.3,2.34,2.36
16,0.96,2.31,2.21,2.3,2.33,2.37
17,0.97,2.29,2.22,2.3,2.33,2.37
18,0.96,2.3,2.22,2.3,2.33,2.37
19,0.96,2.3,2.22,2.3,2.34,2.36
20,0.96,2.3,2.22,2.3,2.33,2.37
21,0.96,2.3,2.22,2.3,2.33,2.37
22,0.96,2.3,2.22,2.3,2.33,2.37
23,0.96,2.3,2.22,2.3,2.33,2.37
24,0.96,2.3,2.22,2.3,2.33,2.37
25,0.96,2.3,2.22,2.3,2.33,2.37
26,0.96,2.3,2.22,2.3,2.33,2.37
27,0.96,2.3,2.22,2.3,2.33,2.37
28,0.96,2.3,2.22,2.3,2.33,2.37
29,0.96,2.3,2.22,2.3,2.33,2.37
30,0.96,2.3,2.22,2.3,2.33,2.37
31,0.96,2.3,2.22,2.3,2.33,2.37
32,0.96,2.3,2.22,2.3,2.33,2.37
33,0.96,2.3,2.22,2.3,2.33,2.37
34,0.96,2.3,2.22,2.3,2.33,2.37
35,0.96,2.3,2.22,2.3,2.33,2.37
36,0.96,2.3,2.22,2.3,2.33,2.37
37,0.96,2.3,2.22,2.3,2.33,2.37
38,0.96,2.3,2.22,2.3,2.33,2.37
39,0.96,2.3,2.22,2.3,2.33,2.37
40,0.96,2.3,2.22,2.3,2.33,2.37
41,0.96,2.3,2.22,2.3,2.33,2.37
42,0.96,2.3,2.22,2.3,2.33,2.37
43,0.96,2.3,2.22,2.3,2.33,2.37
44,0.96,2.3,2.22,2.3,2.33,2.37
45,0.96,2.3,2.22,2.3,2.33,2.37
46,0.96,2.3,2.22,2.3,2.33,2.37
47,0.96,2.3,2.22,2.3,2.33,2.37
48,0.96,2.3,2.22,2.3,2.33,2.37
49,0.96,2.3,2.22,2.3,2.33,2.37
50,0.96,2.3,2.22,2.3,2.33,2.37
51,0.96,2.3,2.22,2.3,2.33,2.37
52,0.96,2.3,2.22,2.3,2.33,2.37
53,0.96,2.3,2.22,2.3,2.33,2.37
54,0.96,2.3,2.22,2.3,2.33,2.37
