t[s],Uc1[V],Uc2,Uc3,Uc4,Uc5,Uc6
1,2.22,2.29,2.21,2.29,2.32,2.37
2,2.22,2.3,2.2,2.29,2.32,2.37
3,2.22,2.3,2.2,2.29,2.32,2.37
4,2.22,2.3,2.2,2.29,2.32,2.37
5,2.22,2.3,2.2,2.29,2.32,2.37
6,2.22,2.3,2.2,2.29,2.32,2.38
7,2.22,2.3,2.2,2.29,2.32,2.38
8,2.22,2.3,2.2,2.29,2.33,2.37
9,2.22,2.3,2.2,2.29,2.33,2.37
10,2.22,2.3,2.2,2.29,2.33,2.37
11,2.22,2.3,2.2,2.29,2.32,2.38
12,2.22,2.3,2.2,2.3,2.32,2.37
13,2.23,2.29,2.2,2.3,2.32,2.37
14,2.23,2.29,2.2,2.3,2.32,2.36
15,2.23,2.29,2.2,2.3,2.32,2.37
16,2.23,2.29,2.2,2.3,2.32,2.37
17,2.23,2.29,2.2,2.3,2.32,2.37
18,2.23,2.29,2.21,2.29,2.32,2.37
19,2.23,2.29,2.21,2.29,2.32,2.37
20,2.23,2.29,2.21,2.29,2.32,2.37
21,2.23,2.29,2.2,2.3,2.32,2.37
22,2.23,2.29,2.21,2.29,2.32,2.37
23,2.23,2.29,2.21,2.29,2.32,2.37
24,2.23,2.29,2.21,2.29,2.32,2.37
25,2.23,2.3,2.2,2.3,2.31,2.38
26,2.24,2.29,2.2,2.3,2.32,2.37
27,2.24,2.29,2.21,2.29,2.32,2.37
28,2.25,2.28,2.21,2.29,2.32,2.37
29,2.25,2.28,2.21,2.29,2.32,2.37
30,2.25,2.28,2.21,2.29,2.32,2.37
31,2.25,2.29,2.2,2.3,2.31,2.38
32,2.25,2.29,2.2,2.3,2.32,2.37
33,2.25,2.29,2.21,2.29,2.32,2.37
34,2.25,2.29,2.21,2.29,2.32,2.37
35,2.25,2.29,2.21,2.29,2.32,2.37
36,2.26,2.28,2.21,2.29,2.32,2.37
37,2.26,2.29,2.2,2.29,2.32,2.37
38,2.26,2.29,2.2,2.3,2.31,2.38
39,2.26,2.29,2.2,2.3,2.32,2.37
40,2.26,2.29,2.2,2.3,2.31,2.38
41,2.26,2.29,2.2,2.3,2.32,2.37
42,2.27,2.28,2.21,2.29,2.32,2.37
43,2.27,2.28,2.21,2.29,2.32,2.37
44,2.27,2.29,2.2,2.29,2.32,2.37
45,2.27,2.29,2.2,2.29,2.32,2.37
46,2.27,2.29,2.2,2.3,2.32,2.37
47,2.27,2.29,2.2,2.3,2.32,2.37
48,2.27,2.29,2.21,2.29,2.32,2.37
49,2.28,2.28,2.21,2.29,2.32,2.37
50,2.28,2.28,2.21,2.29,2.32,2.38
51,2.28,2.29,2.2,2.29,2.32,2.37
52,2.28,2.28,2.21,2.29,2.32,2.37
53,2.28,2.29,2.2,2.3,2.32,2.36
54,2.28,2.29,2.2,2.3,2.32,2.37
55,2.28,2.29,2.21,2.29,2.31,2.38
56,2.29,2.28,2.2,2.3,2.32,2.37
